0.0.0.0		0.0.0.0		*		192.168.1.1		DEFAULT		1
46.0.0.0		255.0.0.0		00101110		60.124.149.229		S1		1
113.0.0.0		255.0.0.0		01110001		99.53.216.230		S2		5
32.0.0.0		255.0.0.0		00100000		33.87.173.250		S4		10
26.0.0.0		255.0.0.0		00011010		87.131.119.66		S2		10
81.0.0.0		255.0.0.0		01010001		181.129.39.161		S1		11
63.0.0.0		255.0.0.0		00111111		118.137.119.169		S3		2
22.0.0.0		255.0.0.0		00010110		162.213.153.54		S2		16
25.0.0.0		255.0.0.0		00011001		96.250.186.186		S2		4
32.0.0.0		255.0.0.0		00100000		3.218.41.90		S1		14
118.0.0.0		255.0.0.0		01110110		8.141.115.30		S2		8
85.0.0.0		255.0.0.0		01010101		55.201.42.170		S1		16
83.0.0.0		255.0.0.0		01010011		122.41.207.195		S2		6
111.0.0.0		255.0.0.0		01101111		50.113.3.91		S2		7
93.0.0.0		255.0.0.0		01011101		151.125.238.24		S1		15
68.0.0.0		255.0.0.0		01000100		28.229.156.239		S1		10
3.0.0.0		255.0.0.0		00000011		220.109.13.8		S2		5
122.0.0.0		255.0.0.0		01111010		113.195.1.160		S3		11
16.0.0.0		255.0.0.0		00010000		175.5.229.74		S3		7
82.0.0.0		255.0.0.0		01010010		103.126.69.42		S1		7
4.0.0.0		255.0.0.0		00000100		0.130.100.159		S3		16
8.0.0.0		255.0.0.0		00001000		52.218.53.17		S1		4
105.0.0.0		255.0.0.0		01101001		139.64.237.129		S2		9
111.0.0.0		255.0.0.0		01101111		171.15.186.185		S2		13
79.0.0.0		255.0.0.0		01001111		128.98.3.60		S1		7
39.0.0.0		255.0.0.0		00100111		160.252.179.86		S4		1
27.0.0.0		255.0.0.0		00011011		169.253.39.3		S2		7
123.0.0.0		255.0.0.0		01111011		147.157.117.67		S2		8
120.0.0.0		255.0.0.0		01111000		10.247.114.170		S1		15
81.0.0.0		255.0.0.0		01010001		204.20.194.80		S2		3
44.0.0.0		255.0.0.0		00101100		24.92.213.76		S4		15
45.0.0.0		255.0.0.0		00101101		122.204.142.54		S2		16
69.0.0.0		255.0.0.0		01000101		43.77.109.229		S2		6
58.0.0.0		255.0.0.0		00111010		119.145.59.115		S4		5
34.0.0.0		255.0.0.0		00100010		140.11.101.213		S2		5
81.0.0.0		255.0.0.0		01010001		129.215.76.27		S2		2
108.0.0.0		255.0.0.0		01101100		210.131.0.197		S1		5
47.0.0.0		255.0.0.0		00101111		73.133.164.231		S2		11
93.0.0.0		255.0.0.0		01011101		160.233.250.241		S3		4
49.0.0.0		255.0.0.0		00110001		104.12.93.199		S2		3
7.0.0.0		255.0.0.0		00000111		182.112.242.214		S1		11
75.0.0.0		255.0.0.0		01001011		31.197.89.73		S1		1
81.0.0.0		255.0.0.0		01010001		127.220.220.56		S2		11
7.0.0.0		255.0.0.0		00000111		61.233.90.143		S3		3
60.0.0.0		255.0.0.0		00111100		12.191.138.221		S1		6
56.0.0.0		255.0.0.0		00111000		46.219.83.50		S4		9
30.0.0.0		255.0.0.0		00011110		184.84.185.79		S4		10
120.0.0.0		255.0.0.0		01111000		158.182.140.126		S3		9
112.0.0.0		255.0.0.0		01110000		75.117.158.180		S2		12
97.0.0.0		255.0.0.0		01100001		61.205.104.123		S2		12
77.0.0.0		255.0.0.0		01001101		220.35.247.47		S2		6
42.0.0.0		255.0.0.0		00101010		76.142.99.0		S1		9
79.0.0.0		255.0.0.0		01001111		67.191.124.42		S2		1
37.0.0.0		255.0.0.0		00100101		134.39.75.171		S1		13
75.0.0.0		255.0.0.0		01001011		42.136.4.203		S1		1
9.0.0.0		255.0.0.0		00001001		44.96.152.208		S1		7
94.0.0.0		255.0.0.0		01011110		36.254.134.249		S1		1
84.0.0.0		255.0.0.0		01010100		96.77.57.177		S3		14
38.0.0.0		255.0.0.0		00100110		183.100.102.27		S4		11
63.0.0.0		255.0.0.0		00111111		114.91.78.101		S2		16
98.0.0.0		255.0.0.0		01100010		63.1.121.239		S2		1
111.0.0.0		255.0.0.0		01101111		52.96.138.106		S3		12
81.0.0.0		255.0.0.0		01010001		102.228.73.38		S3		11
47.0.0.0		255.0.0.0		00101111		173.44.199.152		S3		11
19.0.0.0		255.0.0.0		00010011		176.72.235.150		S4		15
35.0.0.0		255.0.0.0		00100011		78.135.238.252		S2		13
81.0.0.0		255.0.0.0		01010001		73.122.235.219		S1		15
36.0.0.0		255.0.0.0		00100100		113.132.204.240		S4		6
103.0.0.0		255.0.0.0		01100111		139.52.225.171		S1		5
43.0.0.0		255.0.0.0		00101011		157.103.35.148		S1		5
124.0.0.0		255.0.0.0		01111100		124.18.171.163		S2		6
71.0.0.0		255.0.0.0		01000111		168.24.40.182		S3		4
80.0.0.0		255.0.0.0		01010000		48.70.23.249		S3		9
89.0.0.0		255.0.0.0		01011001		151.238.198.245		S2		15
111.0.0.0		255.0.0.0		01101111		29.36.216.162		S1		14
73.0.0.0		255.0.0.0		01001001		54.225.219.186		S4		7
93.0.0.0		255.0.0.0		01011101		76.124.100.23		S4		7
79.0.0.0		255.0.0.0		01001111		184.51.70.113		S4		13
120.0.0.0		255.0.0.0		01111000		22.157.22.97		S1		9
74.0.0.0		255.0.0.0		01001010		149.95.135.234		S3		11
39.0.0.0		255.0.0.0		00100111		81.8.217.15		S3		12
48.0.0.0		255.0.0.0		00110000		222.160.8.22		S2		1
69.0.0.0		255.0.0.0		01000101		203.155.113.128		S2		6
53.0.0.0		255.0.0.0		00110101		48.128.41.141		S2		12
31.0.0.0		255.0.0.0		00011111		110.187.0.189		S1		11
88.0.0.0		255.0.0.0		01011000		172.164.164.82		S3		5
20.0.0.0		255.0.0.0		00010100		12.79.116.214		S4		2
34.0.0.0		255.0.0.0		00100010		60.175.45.117		S1		6
3.0.0.0		255.0.0.0		00000011		10.172.25.0		S2		3
42.0.0.0		255.0.0.0		00101010		25.82.197.182		S2		7
